type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,class,session,n_from,n_to, islegal
3,287.2772305669955,0.7361705303192139,1,0.9065005702650747,54,86.84602975883914,0.036476546202218435,0.3485614639655424,1.5707963267948966,-1.5707963267948966,-0.5069354848011314,58.6139847966268,193.93610375194694,-195.71628543686367,1129.5692298200581,260.4169733331528,19,218.41385743775558,350.56611427720685,1005.7981475375439,-351.88098101177326,561.6823166728303,603.9581137123491,1985.2500709980752,0.0,655.6346677423265,646.9011956113007,2190.7823963801047,0.0,1205.5596832248873,28237.855876551177,72584.37598539,-63562.662342263546,50995.01989543226,5010070.409542606,13384058.846020645,-14254249.948583458,0.03107905387878418,7,12,454,508,1
3,220.42425428137372,1.327988862991333,3,0.6904890122889363,75,95.07837411783797,0.07033401056186112,0.6541977521461723,4.71238898038469,-1.5707963267948966,5.023196844335547,92.86720652674089,590.4287235626546,-392.08482260607263,168.652505599989,152.2005256232711,29,-195.25208333922944,219.18808694261529,125.30409583843695,-651.1883247942866,162.56372565962107,314.75050542286107,1101.3489715536105,-285.4044637996734,335.34409548453436,312.90771527217225,1151.6776760002588,0.0,1072.137906286808,17888.11264195744,40523.924322007544,-66298.05567428074,60368.879770032974,3513731.536456359,10818034.943399098,-11318095.188927758,0.03197932243347168,7,12,509,584,1
3,209.61435273102765,1.0154380798339844,7,0.6294748299496326,53,-4.662610170443855,0.027256136402895877,0.23013125278294644,0.8330405509046953,-0.5553603672697913,3.808881973357493,51.54929767929748,294.5105487838751,-105.71204217734969,298.02126768203954,131.94695904036593,16,256.19237951294525,391.5645299678584,1008.1249849777671,-750.7704057279236,-141.3268410164037,388.3267038830061,875.8988066825775,-998.5249375074396,473.34811709797225,400.4307146695984,1326.8082104194796,0.0,1927.072887399603,24373.38427214951,50784.2072796399,-56401.39869735183,-125459.17124903965,4083095.5161906425,10436944.122322666,-12470827.010572132,0.04797554016113281,7,12,585,638,1
3,49.19465971440417,0.737252950668335,6,0.8797330902990875,31,-25.50999028836071,0.004313635621224411,0.7770515534464744,1.5707963267948966,-1.5707963267948966,-3.1713500363803035,106.10379252317773,196.46917506593732,-196.83309382950353,87.29574283146685,43.278170016764804,8,110.75036692645605,124.92704426196192,376.29450641466553,0.0,-132.93193442392686,109.07452879070263,0,-383.82429917945274,196.13732275705857,135.65332915333963,529.9578534917853,0.0,454.02675367719405,19613.94176253364,43980.63412012778,-49352.559211941,8830.695454352874,4244489.704661836,8996674.462220818,-10886913.483766576,0,7,12,639,670,1
3,174.39532484487913,0.8481664657592773,3,0.8876747742957216,47,92.17585323520646,-0.04445853068011288,0.9270764051156567,2.356194490192345,-4.71238898038469,-5.173060838083989,165.4200708818222,671.8284143434203,-593.4245639049877,144.21890830044012,154.80633061990713,9,-323.1157223064463,219.28130658003388,0,-626.5017625619884,250.68178597250326,259.6646652520852,875.3243098205235,-250.100116275603,459.24469553826094,264.482857492082,1008.1557427320851,0.0,1017.9097059061156,18948.345163958067,44559.681627165795,-44445.01602389273,6957.3346323382375,3972406.8136726185,11108416.4135655,-11133029.922957933,0.023991823196411133,7,12,671,719,1
1,1201.6276235509831,1.488861083984375,1,0.7890291236960358,172,204.8140101423919,0.010089675797149578,0.4911950485675184,3.141592653589793,-1.5707963267948966,1.7516326137227995,69.69582415577432,361.04763901036506,-197.0155592434778,1842.78835078747,948.1191908193822,70,208.1189019180254,827.3804951498637,2961.5086976057514,-1248.2676110830034,654.6548191578822,788.3996385089954,2961.5086976057514,31.14990828004664,869.6303622312481,1009.1758741629301,4188.205765239934,31.14990828004664,673.7525793654338,30245.228266795402,88094.55685507237,-115309.11228555499,93214.04922441517,5552855.836800605,12544935.799213704,-25362293.3316847,0.02470231056213379,7,13,3,174,1
4,1440.1282239968314,1.4165921211242676,4,0.9300956381565962,104,-56.381304838662295,-0.013686687691009686,0.6961981807278605,3.141592653589793,-3.887522570888539,9.061734577693313,132.53853168669542,728.3610072745028,-685.1494713665913,1163.8865777922033,1339.4569795256584,35,-1395.881769367817,1840.0678890686152,379.38046853800466,-6245.055239569995,-798.3175839028519,1117.4050163628121,625.1198283057112,-3762.045026459772,1722.4897898086833,2060.550452932213,7038.928062317766,0.0,499.9682247841519,43901.66982662997,125523.66057663606,-165165.98829171213,-77108.77147006837,7191222.315114712,22927720.47983408,-18837956.877602268,0.11171150207519531,7,13,175,279,1
3,151.63961888354277,0.5919525623321533,2,0.8794562720379379,39,40.22716563864963,-0.03186431330915412,0.594324431426387,1.5707963267948966,-1.5707963267948966,-3.0639820104335898,86.21895688898391,209.73473774109897,-196.52191846863957,301.50626275915283,133.3604139165742,16,-61.9283508251819,206.0794286966657,249.88406315162348,-504.8208461214419,426.95153017968,579.2388433616735,1877.2060271520215,-125.00906056270863,474.6832089364906,580.2772758947322,1942.8049537586812,0.0,1881.3208079094677,32763.644415840354,76083.56117417202,-109255.23041494498,210771.5629517221,6091676.231919596,15053083.108202796,-19791467.23653489,0.056000709533691406,7,13,280,319,1
3,137.82116472364226,1.136223316192627,3,0.5102830471001288,56,63.433079440219636,-0.002814566225412155,0.5240136251317563,1.5707963267948966,-1.5707963267948966,-4.4422188314817,84.01036240907183,392.9617867506347,-224.56872713413122,74.42291256785705,70.32780389006896,27,-149.63860029118823,383.80009156273337,407.74180168502915,-1858.416905248807,72.51559936987881,198.94419556788787,857.7308793456033,-380.1713698712913,283.1927852028074,363.8990775568329,2046.8062084861713,0.0,1455.1970451607583,31165.204510691292,107272.92261870192,-136864.62914409104,66877.00627665546,6100626.978592201,17993615.19686836,-30534877.28966422,0.007994651794433594,7,13,320,376,1
3,99.57838568072171,0.9044325351715088,7,0.8803530121170077,59,-27.350295981776533,-0.01066345686990069,0.7635793908322608,1.5707963267948966,-1.5707963267948966,-1.2310460387969524,97.38645464490394,212.364534446272,-208.98960560384273,106.63426204813547,87.66413177577246,20,143.29160865717049,154.68106744889272,624.8776854086589,0.0,-70.45832086108669,94.14446927085794,0,-375.2508648455207,180.33056904857727,159.76549373069687,673.0138640452751,0.0,1597.0177981828258,12675.343329797672,31278.764181799634,-40178.68510809251,127241.85300998378,2286962.649357391,4332073.067857324,-7117884.0818670355,0.015990018844604492,7,13,377,436,1
